x,y,yaw
1.9659,25.3583,-3.1010
1.8515,25.3549,-3.1090
1.7368,25.3505,-3.1035
1.6215,25.3457,-3.1009
1.5069,25.3422,-3.1095
1.3920,25.3400,-3.1186
1.2768,25.3389,-3.1268
1.1609,25.3366,-3.1223
1.0449,25.3336,-3.1172
0.9290,25.3312,-3.1208
0.8133,25.3305,-3.1322
0.6973,25.3292,-3.1295
0.5812,25.3270,-3.1242
0.4659,25.3250,-3.1262
0.3509,25.3254,-3.1394
0.2355,25.3249,-3.1367
0.1198,25.3234,-3.1299
0.0066,25.3203,-3.1179
-0.1052,25.3155,-3.1053
-0.2176,25.3099,-3.0963
-0.3309,25.3037,-3.0915
-0.4448,25.2990,-3.0991
-0.5594,25.2957,-3.1084
-0.6746,25.2934,-3.1174
-0.7901,25.2905,-3.1143
-0.9049,25.2859,-3.1054
-1.0196,25.2827,-3.1121
-1.1345,25.2802,-3.1176
-1.2496,25.2783,-3.1228
-1.3647,25.2752,-3.1161
-1.4800,25.2726,-3.1196
-1.5954,25.2711,-3.1264
-1.7110,25.2703,-3.1312
-1.8269,25.2685,-3.1264
-1.9424,25.2667,-3.1285
-2.0580,25.2661,-3.1330
-2.1738,25.2645,-3.1285
-2.2898,25.2635,-3.1322
-2.4042,25.2623,-3.1296
-2.5155,25.2577,-3.1085
-2.6275,25.2514,-3.0938
-2.7406,25.2445,-3.0869
-2.8542,25.2399,-3.0990
-2.9683,25.2371,-3.1102
-3.0828,25.2334,-3.1096
-3.1983,25.2302,-3.1118
-3.3139,25.2264,-3.1097
-3.4290,25.2243,-3.1208
-3.5445,25.2223,-3.1212
-3.6603,25.2191,-3.1163
-3.7760,25.2171,-3.1229
-3.8915,25.2162,-3.1296
-4.0069,25.2140,-3.1235
-4.1222,25.2110,-3.1188
-4.2373,25.2090,-3.1236
-4.3526,25.2078,-3.1289
-4.4680,25.2072,-3.1341
-4.5838,25.2059,-3.1304
-4.6995,25.2045,-3.1309
-4.8153,25.2043,-3.1369
-4.9314,25.2032,-3.1323
-5.0475,25.2021,-3.1343
-5.1632,25.2027,3.1409
-5.2788,25.2022,-3.1377
-5.3947,25.2009,-3.1324
-5.5102,25.2002,-3.1372
-5.6259,25.2008,3.1407
-5.7417,25.2002,-3.1377
-5.8575,25.1989,-3.1326
-5.9731,25.1987,-3.1392
-6.0887,25.1997,3.1373
-6.2048,25.1996,-3.1413
-6.3207,25.1983,-3.1330
-6.4363,25.1974,-3.1357
-6.5518,25.1977,-3.1413
-6.6649,25.1966,-3.1325
-6.7747,25.1919,-3.1085
-6.8859,25.1858,-3.0960
-6.9982,25.1815,-3.1025
-7.1112,25.1790,-3.1155
-7.2251,25.1768,-3.1179
-7.3396,25.1736,-3.1152
-7.4552,25.1704,-3.1142
-7.5712,25.1665,-3.1095
-7.6870,25.1636,-3.1161
-7.8026,25.1622,-3.1252
-7.9182,25.1595,-3.1189
-8.0336,25.1567,-3.1188
-8.1485,25.1554,-3.1274
-8.2599,25.1555,-3.1401
-8.3712,25.1585,3.1251
-8.4835,25.1621,3.1155
-8.5973,25.1654,3.1154
-8.7118,25.1693,3.1089
-8.8268,25.1728,3.1119
-8.9421,25.1753,3.1172
-9.0578,25.1773,3.1226
-9.1737,25.1786,3.1281
-9.2898,25.1787,3.1366
-9.4064,25.1794,3.1356
-9.5225,25.1813,3.1280
-9.6383,25.1826,3.1312
-9.7539,25.1829,3.1368
-9.8691,25.1844,3.1288
-9.9846,25.1876,3.1197
-10.1003,25.1901,3.1211
-10.2161,25.1917,3.1263
-10.3321,25.1920,3.1351
-10.4483,25.1918,3.1408
-10.5641,25.1923,3.1358
-10.6798,25.1936,3.1338
-10.7957,25.1937,3.1389
-10.9118,25.1931,-3.1388
-11.0269,25.1932,3.1395
-11.1422,25.1937,3.1403
-11.2578,25.1929,-3.1373
-11.3730,25.1936,3.1373
-11.4882,25.1946,3.1356
-11.6036,25.1936,-3.1362
-11.7187,25.1932,-3.1402
-11.8338,25.1953,3.1291
-11.9492,25.1965,3.1318
-12.0648,25.1963,3.1405
-12.1807,25.1955,-3.1371
-12.2966,25.1950,-3.1391
-12.4125,25.1956,3.1396
-12.5281,25.1951,-3.1389
-12.6435,25.1949,-3.1409
-12.7589,25.1962,3.1344
-12.8745,25.1963,3.1404
-12.9904,25.1952,-3.1357
-13.1058,25.1953,3.1410
-13.2210,25.1967,3.1343
-13.3365,25.1969,3.1389
-13.4525,25.1968,3.1410
-13.5690,25.1961,-3.1371
-13.6852,25.1955,-3.1376
-13.8006,25.1967,3.1343
-13.9144,25.1962,-3.1377
-14.0251,25.1920,-3.1133
-14.1367,25.1869,-3.1036
-14.2494,25.1813,-3.0956
-14.3627,25.1764,-3.0986
-14.4766,25.1728,-3.1071
-14.5916,25.1704,-3.1160
-14.7075,25.1681,-3.1189
-14.8237,25.1650,-3.1166
-14.9400,25.1623,-3.1183
-15.0559,25.1605,-3.1250
-15.1715,25.1591,-3.1266
-15.2853,25.1561,-3.1165
-15.3961,25.1499,-3.0947
-15.5081,25.1429,-3.0861
-15.6208,25.1369,-3.0908
-15.7342,25.1335,-3.1062
-15.8482,25.1303,-3.1086
-15.9630,25.1261,-3.1063
-16.0785,25.1220,-3.1052
-16.1935,25.1168,-3.1007
-16.3084,25.1133,-3.1088
-16.4234,25.1108,-3.1160
-16.5357,25.1062,-3.1021
-16.6473,25.0988,-3.0830
-16.7600,25.0907,-3.0778
-16.8735,25.0855,-3.0920
-16.9879,25.0816,-3.1009
-17.1029,25.0767,-3.0989
-17.2185,25.0719,-3.1003
-17.3343,25.0666,-3.0968
-17.4495,25.0619,-3.1005
-17.5641,25.0572,-3.0983
-17.6765,25.0496,-3.0800
-17.7894,25.0399,-3.0653
-17.9031,25.0320,-3.0726
-18.0171,25.0254,-3.0809
-18.1314,25.0201,-3.0906
-18.2461,25.0160,-3.1017
-18.3617,25.0121,-3.1043
-18.4773,25.0072,-3.1010
-18.5926,25.0037,-3.1086
-18.7055,24.9989,-3.0987
-18.8165,24.9906,-3.0764
-18.9284,24.9811,-3.0660
-19.0411,24.9739,-3.0755
-19.1545,24.9679,-3.0851
-19.2683,24.9633,-3.0967
-19.3830,24.9600,-3.1068
-19.4948,24.9546,-3.0938
-19.6046,24.9455,-3.0698
-19.7158,24.9355,-3.0604
-19.8283,24.9268,-3.0645
