x,y,speed
-12.5281,25.1951,5.9014
-12.6435,25.1949,5.8864
-12.7589,25.1962,5.8729
-12.8745,25.1963,5.8615
-12.9904,25.1952,5.8560
-13.1058,25.1953,5.8586
-13.2210,25.1967,5.8678
-13.3365,25.1969,5.8635
-13.4525,25.1968,5.8355
-13.5690,25.1961,5.7898
-13.6852,25.1955,5.7416
-13.8006,25.1967,5.6903
-13.9144,25.1962,5.6524
-14.0251,25.1920,5.6587
-14.1367,25.1869,5.6968
-14.2494,25.1813,5.7342
-14.3627,25.1764,5.7773
-14.4766,25.1728,5.8251
-14.5916,25.1704,5.8645
-14.7075,25.1681,5.8707
-14.8237,25.1650,5.8519
-14.9400,25.1623,5.8194
-15.0559,25.1605,5.7756
-15.1715,25.1591,5.7008
-15.2853,25.1561,5.6541
-15.3961,25.1499,5.6555
-15.5081,25.1429,5.6726
-15.6208,25.1369,5.7056
-15.7342,25.1335,5.7684
-15.8482,25.1303,5.8210
-15.9630,25.1261,5.8365
-16.0785,25.1220,5.8245
-16.1935,25.1168,5.7991
-16.3084,25.1133,5.7532
-16.4234,25.1108,5.6961
-16.5357,25.1062,5.6702
-16.6473,25.0988,5.6883
-16.7600,25.0907,5.7114
-16.8735,25.0855,5.7631
-16.9879,25.0816,5.8307
-17.1029,25.0767,5.8581
-17.2185,25.0719,5.8499
-17.3343,25.0666,5.8308
-17.4495,25.0619,5.7779
-17.5641,25.0572,5.7103
-17.6765,25.0496,5.6785
-17.7894,25.0399,5.6737
-17.9031,25.0320,5.6849
-18.0171,25.0254,5.7278
-18.1314,25.0201,5.7795
-18.2461,25.0160,5.7999
-18.3617,25.0121,5.7970
-18.4773,25.0072,5.7725
-18.5926,25.0037,5.7140
-18.7055,24.9989,5.6533
-18.8165,24.9906,5.6360
-18.9284,24.9811,5.6179
-19.0411,24.9739,5.5944
-19.1545,24.9679,5.5951
-19.2683,24.9633,5.6033
-19.3830,24.9600,5.5790
-19.4948,24.9546,5.5825
-19.6046,24.9455,5.6183
-19.7158,24.9355,5.6471
-19.8283,24.9268,5.6755
-19.9417,24.9193,5.7181
-20.0548,24.9123,5.7419
-20.1654,24.9023,5.7654
-20.2772,24.8914,5.8013
-20.3900,24.8809,5.8291
-20.5036,24.8716,5.8509
-20.6168,24.8616,5.8572
-20.7308,24.8505,5.8478
-20.8457,24.8395,5.8203
-20.9600,24.8298,5.7865
-21.0734,24.8199,5.7537
-21.1862,24.8072,5.7567
-21.2996,24.7938,5.7677
-21.4120,24.7811,5.7881
-21.5240,24.7652,5.8261
-21.6368,24.7499,5.8624
-21.7503,24.7347,5.8753
-21.8640,24.7182,5.8849
-21.9778,24.7022,5.8955
-22.0916,24.6847,5.8988
-22.2059,24.6672,5.8966
-22.3196,24.6494,5.8889
-22.4336,24.6307,5.8674
-22.5475,24.6129,5.8278
-22.6604,24.5940,5.7821
-22.7730,24.5749,5.7474
-22.8846,24.5541,5.7294
-22.9965,24.5325,5.7282
-23.1082,24.5091,5.7423
-23.2196,24.4851,5.7611
-23.3316,24.4607,5.7709
-23.4419,24.4360,5.7654
-23.5521,24.4106,5.7536
-23.6618,24.3839,5.7449
-23.7715,24.3562,5.7301
-23.8810,24.3286,5.7134
-23.9896,24.2990,5.7142
-24.0977,24.2689,5.7195
-24.2066,24.2381,5.7120
-24.3149,24.2060,5.7117
-24.4223,24.1721,5.7245
-24.5309,24.1384,5.7245
-24.6391,24.1038,5.7147
-24.7461,24.0680,5.7117
-24.8531,24.0304,5.7024
-24.9606,23.9927,5.6786
-25.0680,23.9541,5.6587
-25.1746,23.9143,5.6490
-25.2792,23.8737,5.6427
-25.3830,23.8314,5.6449
-25.4871,23.7877,5.6498
-25.5923,23.7431,5.6444
-25.6971,23.6976,5.6404
-25.8002,23.6511,5.6462
-25.9028,23.6032,5.6476
-26.0041,23.5550,5.6484
-26.1036,23.5044,5.6583
-26.2046,23.4538,5.6555
-26.3053,23.4027,5.6320
-26.4052,23.3505,5.6130
-26.5032,23.2966,5.6158
-26.6011,23.2411,5.6358
-26.6992,23.1842,5.6704
-26.7965,23.1266,5.7210
-26.8934,23.0672,5.7732
-26.9901,23.0079,5.7957
-27.0872,22.9479,5.7851
-27.1840,22.8876,5.7700
-27.2798,22.8265,5.7553
-27.3759,22.7654,5.7392
-27.4696,22.7035,5.7482
-27.5614,22.6398,5.7836
-27.6546,22.5758,5.8091
-27.7476,22.5119,5.8189
-27.8408,22.4469,5.8283
-27.9346,22.3815,5.8283
-28.0277,22.3147,5.8266
-28.1206,22.2473,5.8378
-28.2129,22.1788,5.8667
-28.3054,22.1100,5.8874
-28.3984,22.0420,5.8873
-28.4911,21.9737,5.8627
-28.5825,21.9049,5.8360
-28.6748,21.8363,5.7971
-28.7660,21.7681,5.7664
-28.8548,21.6989,5.7676
-28.9425,21.6277,5.7942
-29.0309,21.5563,5.8049
-29.1205,21.4850,5.7998
-29.2103,21.4125,5.7589
-29.3002,21.3395,5.6777
-29.3893,21.2657,5.5852
-29.4766,21.1917,5.5183
-29.5624,21.1173,5.4898
-29.6426,21.0430,5.5067
-29.7210,20.9666,5.5553
-29.7998,20.8884,5.6040
-29.8799,20.8095,5.6269
-29.9605,20.7310,5.6161
-30.0388,20.6511,5.6017
-30.1151,20.5693,5.6008
-30.1914,20.4862,5.6079
-30.2675,20.4021,5.6312
-30.3419,20.3168,5.6836
-30.4162,20.2306,5.7353
-30.4902,20.1432,5.7609
-30.5638,20.0556,5.7771
-30.6356,19.9673,5.7994
-30.7083,19.8790,5.8053
-30.7809,19.7903,5.8016
-30.8522,19.7007,5.8129
-30.9215,19.6103,5.8408
-30.9917,19.5199,5.8571
-31.0624,19.4301,5.8773
-31.1325,19.3396,5.9014
-31.2018,19.2489,5.9149
-31.2708,19.1578,5.9115
-31.3407,19.0671,5.9110
-31.4100,18.9760,5.9050
-31.4796,18.8843,5.8849
-31.5500,18.7943,5.8678
-31.6211,18.7045,5.8463
-31.6922,18.6133,5.7954
-31.7641,18.5222,5.7248
-31.8368,18.4321,5.6663
-31.9101,18.3432,5.6107
-31.9829,18.2553,5.5627
-32.0563,18.1719,5.5532
-32.1319,18.0898,5.5695
-32.2088,18.0070,5.5611
-32.2864,17.9238,5.5301
-32.3644,17.8429,5.4967
-32.4435,17.7627,5.4469
-32.5223,17.6853,5.3903
-32.6025,17.6112,5.3690
-32.6836,17.5393,5.3753
-32.7662,17.4670,5.3759
-32.8500,17.3967,5.3751
-32.9354,17.3283,5.3826
-33.0219,17.2613,5.3822
-33.1091,17.1950,5.3752
-33.1970,17.1313,5.3854
-33.2863,17.0699,5.4085
-33.3775,17.0096,5.4153
-33.4699,16.9497,5.4079
-33.5641,16.8909,5.4064
-33.6581,16.8336,5.4065
-33.7533,16.7781,5.4076
-33.8480,16.7264,5.4221
-33.9443,16.6773,5.4429
-34.0420,16.6269,5.4593
-34.1411,16.5775,5.4685
-34.2411,16.5286,5.4681
-34.3398,16.4841,5.4770
-34.4397,16.4428,5.4971
-34.5415,16.4002,5.4923
-34.6438,16.3576,5.4633
-34.7463,16.3179,5.4375
-34.8504,16.2794,5.4168
-34.9548,16.2427,5.4094
-35.0592,16.2090,5.4419
-35.1641,16.1773,5.5005
-35.2695,16.1480,5.5333
-35.3762,16.1186,5.5067
-35.4843,16.0889,5.4361
-35.5933,16.0602,5.3458
-35.7015,16.0334,5.2630
-35.8046,16.0121,5.2395
-35.9077,15.9955,5.2888
-36.0130,15.9799,5.3548
-36.1203,15.9648,5.4085
-36.2291,15.9509,5.4401
-36.3395,15.9378,5.4235
-36.4489,15.9262,5.3693
-36.5576,15.9187,5.3254
-36.6674,15.9124,5.2993
-36.7772,15.9083,5.2832
-36.8873,15.9064,5.2831
-36.9957,15.9071,5.2941
-37.1042,15.9106,5.2980
-37.2134,15.9153,5.2926
-37.3221,15.9224,5.2906
-37.4308,15.9314,5.2904
-37.5394,15.9427,5.2879
-37.6467,15.9568,5.2950
-37.7537,15.9732,5.3113
-37.8610,15.9912,5.3150
-37.9685,16.0108,5.3088
-38.0751,16.0332,5.3099
-38.1813,16.0575,5.3086
-38.2880,16.0838,5.2988
-38.3927,16.1123,5.2943
-38.4966,16.1436,5.2951
